Lean ID;Current Requested Charge Amount;Charge Requested
58698229;100000;TMB_RAPIDTEST
58698335;100000;TMB_BONGKAR
58698335;100000;TMB_TOLL
58698337;100000;TMB_BONGKAR
58698337;100000;TMB_TOLL
58698337;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58698344;100000;TMB_BONGKAR
58698344;100000;TMB_TOLL
58698344;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58698349;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58698350;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58698352;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58698352;100000;TMB_MULTIDROP
58698352;100000;TMB_MULTIDROP
58704740;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58704741;100000;TMB_KOMISI SUPIR
58704834;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
58704858;100000;TMB_BONGKAR
58704858;100000;TMB_BONGKAR
58704859;100000;TMB_BONGKAR
58704859;100000;TMB_TOLL
58704859;100000;TMB_BIAYA INAP (OVERNIGHT CHARGE)
