ROW;COMPANY REFERENCE;LOCATION;ADDRESS 1;ADDRESS 2;ADDRESS 3;LATITUDE;LONGITUDE;POSTAL CODE;REVISION
2072;SCGMANDALAJATI;SCGMANDALAJATI;MANDALAJATI;MANDALAJATI;MANDALAJATI;-6,873,056;107,673,327;40193;40195
2197;SSOMEDAN SATRIA(PP);SSOMEDAN SATRIA(PP);MEDAN SATRIA;MEDAN SATRIA;BEKASI;0;0;17163;17132
2207;EXIM_ISICIMANGGIS;EXIM_ISICIMANGGIS;CIMANGGIS;CIMANGGIS;DEPOK;-6,370,992;106,845,739;16951;16451
2364;EXIM_ITTPADALARANG;EXIM_ITTPADALARANG;PADALARANG;PADALARANG;BANDUNG;-6,843,646;107,478,382;40714;40553
2472;TIVRANCABALI;TIVRANCABALI;ALAMENDAH;RANCABALI;BANDUNG;-7,131,345;107,418,781;40974;40973
2476;EXIM_GCMTELUKJAMBE TIMUR;EXIM_GCMTELUKJAMBE TIMUR;SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;-6,335,088;107,321,458;41360;41361
2488;SMRCITEUREUP;SMRCITEUREUP;LEUWINUTUG;CITEUREUP;BOGOR;-6,485,174;106,872,681;16811;16810
2516;TIVCITEUREUP(BL);TIVCITEUREUP(BL);CITEUREUP;CITEUREUP;BOGOR;-6,485,174;106,872,681;16811;16810
2517;SKACITEUREUP;SKACITEUREUP;SANJA;CITEUREUP;BOGOR;-6,485,174;106,872,681;16811;16810
2529;LTLPANONGAN;LTLPANONGAN;PEUSAR;PANONGAN;TANGERANG;0;0;15711;15710
2545;SBISUKAJAYA;SBISUKAJAYA;CILEUKSA;SUKAJAYA;BOGOR;0;0;16661;16660
2576;TIVSAGULING;TIVSAGULING;SAGULING;SAGULING;BANDUNG BARAT;0;0;40560;40561
2577;TIVSUKAWENING;TIVSUKAWENING;SUKAHAJI;SUKAWENING;GARUT;0;0;44179;44184
2598;SMESINDANG JAYA;SMESINDANG JAYA;SINDANG JAYA;SINDANG JAYA;TANGERANG;-6,162,793;106,579,602;15561;15560
2603;TIVSUKATANI;TIVSUKATANI;SUKAASIH;SUKATANI;BEKASI;0;0;17631;17630
2636;TIVTAMANSARI TASIK;TIVTAMANSARI TASIK;TAMANSARI;TAMANSARI;TASIKMALAYA;0;0;46191;46196
2638;SMRCIKARANG SELATAN;SMRCIKARANG SELATAN;CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;-6,355,904;107,121,992;17532;17530
2658;SMRCINAMBO;SMRCINAMBO;BABAKAN PENGHULU;CINAMBO;BANDUNG;-6,955,919;107,680,431;40296;40294
2674;EXIM_GCMCIKARANG SELATAN;EXIM_GCMCIKARANG SELATAN;CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;-6,355,904;107,121,992;17532;17530
2676;TIVJATISARI;TIVJATISARI;JATISARI;JATISARI;KARAWANG;0;0;41375;41374
2679;SMRWERU;SMRWERU;WERU;WERU;CIREBON;0;0;45159;45154
2694;TIVJAYANTI;TIVJAYANTI;JAYANTI;JAYANTI;TANGERANG;0;0;15611;15610
2727;GCMCIKARANG SELATAN;GCMCIKARANG SELATAN;CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;-6,355,904;107,121,992;17532;17530
2847;LTLCAMPAKA;LTLCAMPAKA;CIJAYA;CAMPAKA;PURWAKARTA;0;0;41180;41181
2871;LTLTAMBUN SELATAN;LTLTAMBUN SELATAN;TAMBUN SELATAN;TAMBUN SELATAN;BEKASI;-6,268,253;107,075,647;17511;17510
2896;TIVJATINANGOR;TIVJATINANGOR;CIKERUH;JATINANGOR;SUMEDANG;0;0;45360;45363
2897;TIVCILILIN;TIVCILILIN;CILILIN;CILILIN;BANDUNG BARAT;-6,983,455;107,436,089;40567;40562
2902;TIVTAROGONG KIDUL;TIVTAROGONG KIDUL;TAROGONG;TAROGONG KIDUL;GARUT;0;0;44150;44151
2912;DKJCIKARANG SELATAN;DKJCIKARANG SELATAN;CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;0;0;17532;17530
2913;TIVMARGOMULYO(BL);TIVMARGOMULYO(BL);MARGOMULYO;MARGOMULYO;SURABAYA;-7,244,166;11,268,212;60168;60183
